"","ST","STATE","OCC_CODE","OCC_TITLE","OCC_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"635","MT","Montana","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",956,4.7,16.53,428,2.1,8.44,9.43,13.71,20.47,27.97,15,212,355,562,736
"636","MT","Montana","29-0000","Healthcare Practitioners and Technical Occupations","major",559,3.8,32.87,925,1.9,13.55,18.64,26.93,35.72,54.85,562,705,833,950,130
"637","MT","Montana","31-0000","Healthcare Support Occupations","major",88,4,12.96,245,0.9,9.54,10.5,12.2,14.55,17.75,313,293,276,331,447
"638","MT","Montana","33-0000","Protective Service Occupations","major",1082,5.5,18.61,538,1.8,9.08,11.7,17.11,23.16,28.8,258,41,520,660,768
"639","MT","Montana","35-0000","Food Preparation and Serving Related Occupations","major",817,2.2,9.98,120,0.7,8.05,8.41,9.03,10.47,13.3,127,104,105,203,348
"640","MT","Montana","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",338,2.5,11.78,198,1,8.27,8.97,10.6,13.41,17.17,7,168,186,288,427
"641","MT","Montana","39-0000","Personal Care and Service Occupations","major",223,4.9,11.57,190,1.4,8.27,8.99,10.36,11.97,16.84,159,169,173,250,418
"642","MT","Montana","41-0000","Sales and Related Occupations","major",844,1.9,15.63,374,1.4,8.29,9.03,11.24,17.26,28.04,162,174,223,411,739
"643","MT","Montana","43-0000","Office and Administrative Support Occupations","major",1006,1.2,14.95,337,0.6,9.04,10.83,13.61,17.38,22.38,252,318,345,416,564
"644","MT","Montana","45-0000","Farming, Fishing, and Forestry Occupations","major",73,6.4,14.84,330,3.7,8.46,9.55,13.33,17.4,24.61,181,222,328,419,624
"645","MT","Montana","47-0000","Construction and Extraction Occupations","major",548,2.7,21.37,660,1.1,12.1,15.61,19.95,26.17,32.65,496,605,637,747,871
"646","MT","Montana","49-0000","Installation, Maintenance, and Repair Occupations","major",389,2.8,20.31,623,1.1,10.19,13.45,18.46,26.06,33.26,378,493,583,741,890
"647","MT","Montana","51-0000","Production Occupations","major",360,3.1,17.2,472,1.8,9.24,11.21,14.89,20.3,28.57,280,353,429,553,757
"648","MT","Montana","53-0000","Transportation and Material Moving Occupations","major",566,4.9,17.2,472,1.8,8.82,10.91,15.27,21.16,28.5,229,31,451,594,754
"649","NE","Nebraska","11-0000","Management Occupations","major",667,2.8,46.69,1118,0.7,21.08,29.44,40.83,56.76,81.19,826,972,1080,123,306
"650","NE","Nebraska","13-0000","Business and Financial Operations Occupations","major",786,2.2,29.96,867,0.7,16.63,20.84,27.35,35.92,45.7,686,788,850,959,1105
"651","NE","Nebraska","15-0000","Computer and Mathematical Occupations","major",518,3.5,33.88,942,1.1,18.5,23.92,32.56,42.6,52.4,745,862,955,1064,99
"652","NE","Nebraska","17-0000","Architecture and Engineering Occupations","major",128,2.8,31.97,909,1,16.9,22.38,30.36,39.69,49.06,698,830,923,1022,64
"653","NE","Nebraska","19-0000","Life, Physical, and Social Science Occupations","major",958,2.5,27.65,816,1.9,14.55,18.94,25.29,34.19,43.64,602,719,785,918,1070
"654","NE","Nebraska","21-0000","Community and Social Service Occupations","major",248,3.1,17.03,460,1.8,9.89,11.62,15.64,20.8,27.32,346,378,465,577,708
"655","NE","Nebraska","23-0000","Legal Occupations","major",864,3.3,35.11,978,3.8,15.25,19.09,27.58,42.9,65.03,633,725,855,1070,222
"656","NE","Nebraska","25-0000","Education, Training, and Library Occupations","major",932,3.3,21.38,661,2.6,9.31,13.29,20.27,26.74,33.8,287,484,651,763,907
"657","NE","Nebraska","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",130,3.2,19.07,560,1.3,8.77,11.66,17.21,23.44,32.07,221,380,524,672,855
"658","NE","Nebraska","29-0000","Healthcare Practitioners and Technical Occupations","major",920,1.6,31.46,899,1.4,14.79,19.19,25.42,34.36,51.22,613,730,793,922,88
"659","NE","Nebraska","31-0000","Healthcare Support Occupations","major",511,3.2,13.13,1,0.7,9.68,10.65,12.36,14.56,17.8,323,301,281,332,449
"660","NE","Nebraska","33-0000","Protective Service Occupations","major",270,1.9,19.61,17,3.8,8.77,11.74,17.43,26.22,33.71,221,388,533,749,903
"661","NE","Nebraska","35-0000","Food Preparation and Serving Related Occupations","major",1070,1.1,9.43,102,0.7,7.67,8.1,8.83,10.1,12.85,63,69,86,189,338
"662","NE","Nebraska","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",537,2.3,11.42,184,1,7.96,8.81,10.49,13.13,16.66,111,149,181,278,416
"663","NE","Nebraska","39-0000","Personal Care and Service Occupations","major",455,3.2,11.19,174,1.3,7.84,8.5,9.68,12.12,17.09,93,114,146,254,424
"664","NE","Nebraska","41-0000","Sales and Related Occupations","major",1179,1.5,16.36,420,1.2,7.99,8.82,11.47,19.47,30.97,117,150,237,522,829
"665","NE","Nebraska","43-0000","Office and Administrative Support Occupations","major",281,1.4,15.11,344,0.6,8.83,10.9,13.96,17.97,23.07,230,30,6,445,579
"666","NE","Nebraska","45-0000","Farming, Fishing, and Forestry Occupations","major",604,7.5,14.12,296,2.1,8.43,10.37,13.24,17,21.75,14,280,323,399,548
"667","NE","Nebraska","47-0000","Construction and Extraction Occupations","major",714,1.9,18.67,545,1,10.73,13.25,16.87,22.38,29.11,414,481,513,639,779
"668","NE","Nebraska","49-0000","Installation, Maintenance, and Repair Occupations","major",722,2.4,19.96,606,0.9,10.88,14.25,18.59,23.87,31.14,427,541,588,688,834
"669","NE","Nebraska","51-0000","Production Occupations","major",1065,2.3,15.86,384,1,9.73,11.79,14.53,18.28,22.73,329,393,408,468,572
"670","NE","Nebraska","53-0000","Transportation and Material Moving Occupations","major",1090,2,15.94,389,2.8,8.71,10.95,14.35,20.03,25.83,210,327,396,543,656
"671","NV","Nevada","11-0000","Management Occupations","major",902,1.4,47.18,1124,1,20.66,29.33,40.96,56.65,83.6,821,971,1081,121,311
"672","NV","Nevada","13-0000","Business and Financial Operations Occupations","major",769,2.2,30.39,877,1.3,15.81,20.37,27.39,35.89,46.03,656,770,851,958,1110
"673","NV","Nevada","15-0000","Computer and Mathematical Occupations","major",272,2.8,34.69,964,1.7,17.01,23.6,33.23,43.46,55.48,703,853,964,1079,136
"674","NV","Nevada","17-0000","Architecture and Engineering Occupations","major",132,3.8,36.31,999,2.1,18.66,26.17,33.91,43.96,55.76,754,926,983,1088,143
"675","NV","Nevada","19-0000","Life, Physical, and Social Science Occupations","major",1017,3.2,30.95,890,1.9,15.05,20.28,28.52,38.3,50.35,626,768,881,998,79
"676","NV","Nevada","21-0000","Community and Social Service Occupations","major",78,2.2,23.55,733,2.3,13.03,17.06,22.66,29.24,35.2,544,662,718,828,945
"677","NV","Nevada","23-0000","Legal Occupations","major",1083,4.6,45.33,1108,5,18.25,24.16,36.77,56.08,86.09,739,865,1043,117,316
"678","NV","Nevada","25-0000","Education, Training, and Library Occupations","major",845,1.1,23.67,741,2.8,12.03,15.78,22.4,29.18,35.42,490,614,714,826,950
"679","NV","Nevada","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",304,4.2,28.4,836,9.1,10.7,15.09,23.62,33.12,43.99,410,589,748,894,1078
"680","NV","Nevada","29-0000","Healthcare Practitioners and Technical Occupations","major",837,3.2,39.47,1050,1.7,16.74,25.15,35.38,45.24,62.33,692,893,1014,1108,211
"681","NV","Nevada","31-0000","Healthcare Support Occupations","major",461,3,15.73,379,1.1,9.77,12.13,14.98,18.2,22.37,336,411,434,465,563
"682","NV","Nevada","33-0000","Protective Service Occupations","major",715,2,19.55,583,5.5,9.04,11.16,16.26,25.46,36.4,252,348,490,725,973
"683","NV","Nevada","35-0000","Food Preparation and Serving Related Occupations","major",329,1.6,11.88,202,1.5,7.83,8.53,10.38,14.4,17.85,93,121,175,323,454
"684","NV","Nevada","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",1003,2.5,13.99,286,1.1,8.37,10.14,14.7,17.07,18.47,173,15,419,402,478
"685","NV","Nevada","39-0000","Personal Care and Service Occupations","major",1012,3.2,12.29,216,1,7.79,8.4,9.45,13.98,21.23,86,101,136,306,533
"686","NV","Nevada","41-0000","Sales and Related Occupations","major",198,1.6,16.09,398,1.4,8.23,9.41,12.26,18.2,28.36,153,210,278,464,749
"687","NV","Nevada","43-0000","Office and Administrative Support Occupations","major",373,1.2,16.34,418,0.6,9.43,11.78,15.29,19.76,25.4,298,391,453,533,640
"688","NV","Nevada","45-0000","Farming, Fishing, and Forestry Occupations","major",727,10.1,16.42,424,3.5,8.95,12.64,15.12,20.2,24.98,245,451,442,550,634
"689","NV","Nevada","47-0000","Construction and Extraction Occupations","major",881,2.4,24.08,749,1.2,12.39,16.4,23.36,30.3,37.78,510,642,739,848,1001
"690","NV","Nevada","49-0000","Installation, Maintenance, and Repair Occupations","major",813,2.2,23.6,738,0.9,12.21,16.28,23.11,30.09,35.74,503,637,732,843,957
"691","NV","Nevada","51-0000","Production Occupations","major",745,3.3,16.63,435,1.2,8.98,10.82,14.51,20.04,28.05,40,317,403,543,740
"692","NV","Nevada","53-0000","Transportation and Material Moving Occupations","major",1100,1.9,17.18,468,3.6,8.7,10.79,15.01,20.68,27.31,208,314,436,572,706
"693","NH","New Hampshire","11-0000","Management Occupations","major",660,1.7,52.05,67,0.9,24.98,33.14,45.18,63.15,89.31,861,1000,1103,140,321
"694","NH","New Hampshire","13-0000","Business and Financial Operations Occupations","major",584,2.4,32.1,911,1,17.81,22.38,29.24,38.43,48.74,732,830,901,1002,62
"695","NH","New Hampshire","15-0000","Computer and Mathematical Occupations","major",337,2.8,38.05,1029,1.3,19.73,26.42,36.3,47.51,59.05,791,931,1029,1141,189
"696","NH","New Hampshire","17-0000","Architecture and Engineering Occupations","major",137,4.7,35.83,992,1.2,20.46,25.84,33.44,43.57,55.57,813,912,970,1082,139
"697","NH","New Hampshire","19-0000","Life, Physical, and Social Science Occupations","major",614,4.2,30.66,884,2.3,16.37,20.96,27.62,35.83,48.74,671,792,858,953,62
"698","NH","New Hampshire","21-0000","Community and Social Service Occupations","major",1075,3,20.28,621,1.3,11.11,13.95,18.49,25.46,32.5,437,525,584,725,866
"699","NH","New Hampshire","23-0000","Legal Occupations","major",607,3.7,39.11,1044,4.4,17,21.45,30.29,47.15,72.05,702,804,921,1136,274
"700","NH","New Hampshire","25-0000","Education, Training, and Library Occupations","major",799,2.3,23.23,722,3.4,10.53,14.04,21.28,29.73,36.02,399,529,682,836,964
"701","NH","New Hampshire","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",964,4.3,23.5,731,4.7,9.05,12.98,19.46,28.67,39.35,254,468,615,817,1022
"702","NH","New Hampshire","29-0000","Healthcare Practitioners and Technical Occupations","major",671,2.6,39.15,1046,2.4,16.49,22.98,30.89,42.5,75.38,676,841,929,1062,285
"703","NH","New Hampshire","31-0000","Healthcare Support Occupations","major",309,3,15.01,338,0.9,10.28,12.05,14.14,17.27,21.09,386,47,388,412,527
"704","NH","New Hampshire","33-0000","Protective Service Occupations","major",136,2.8,20.76,641,1.8,10.79,13.79,19.76,26.21,32.67,419,514,630,748,873
"705","NH","New Hampshire","35-0000","Food Preparation and Serving Related Occupations","major",914,1.4,10.65,145,0.8,7.77,8.35,9.33,12.03,15.85,81,94,127,252,394
"706","NH","New Hampshire","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",415,3,13.36,267,1.2,8.5,10.01,12.39,16.02,19.79,185,11,284,375,502
"707","NH","New Hampshire","39-0000","Personal Care and Service Occupations","major",368,2.7,12.15,212,1.2,8.12,9.21,10.81,13.8,18.12,137,193,197,296,461
"708","NH","New Hampshire","41-0000","Sales and Related Occupations","major",1073,1.4,18.66,545,1.6,8.12,9.12,12.03,20.92,36.5,136,184,269,582,975
"709","NH","New Hampshire","43-0000","Office and Administrative Support Occupations","major",99,1.1,16.75,444,0.5,9.73,12.3,15.83,20.13,25.62,330,422,472,547,650
"710","NH","New Hampshire","45-0000","Farming, Fishing, and Forestry Occupations","major",1035,8.9,14.78,324,3,8.91,10.87,14.54,17.43,21.12,239,322,409,421,528
"711","NH","New Hampshire","47-0000","Construction and Extraction Occupations","major",410,2.3,20.66,633,0.8,12.76,15.76,19.53,24.95,30.07,531,611,621,712,804
"712","NH","New Hampshire","49-0000","Installation, Maintenance, and Repair Occupations","major",462,2.3,21.97,685,0.7,12.69,16.11,20.77,26.91,33.95,527,627,663,769,913
"713","NH","New Hampshire","51-0000","Production Occupations","major",801,2.4,17.38,486,1,10.31,12.74,16.28,20.79,26.61,387,457,492,577,677
"714","NH","New Hampshire","53-0000","Transportation and Material Moving Occupations","major",654,2.4,16.11,400,2.5,8.7,10.62,14.23,18.51,24.31,208,299,392,481,615
"715","NJ","New Jersey","11-0000","Management Occupations","major",398,1,64.97,86,0.5,32.49,43.83,58.21,79.48,NA,874,1016,67,165,56
"716","NJ","New Jersey","13-0000","Business and Financial Operations Occupations","major",454,1.3,37.19,1016,0.5,20.6,26.72,34.64,44.27,56.08,816,938,1000,1090,155
"717","NJ","New Jersey","15-0000","Computer and Mathematical Occupations","major",208,2.5,43.28,1094,0.8,22.61,30.75,41.45,54.18,67.46,843,986,1083,99,238
"718","NJ","New Jersey","17-0000","Architecture and Engineering Occupations","major",900,3,41.17,1070,1.3,22.15,29.86,39.69,51.12,63.39,840,975,1071,80,217
"719","NJ","New Jersey","19-0000","Life, Physical, and Social Science Occupations","major",675,4.9,38.28,1034,2.6,18.62,24.99,34.52,47.22,61.26,751,891,998,1138,204
"720","NJ","New Jersey","21-0000","Community and Social Service Occupations","major",933,1.8,25.19,774,1.4,12.19,16.77,23.7,32.58,41.28,502,652,755,881,1038
"721","NJ","New Jersey","23-0000","Legal Occupations","major",588,2.8,51.56,65,2.2,20.45,28.38,41.72,68.18,NA,811,961,1084,152,56
"722","NJ","New Jersey","25-0000","Education, Training, and Library Occupations","major",594,2.1,27.45,811,1.4,10.9,14.97,25.98,35.88,45.5,429,579,813,957,1099
"723","NJ","New Jersey","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",787,3.8,26.73,792,1.3,11.24,15.74,23.21,33.63,45.4,450,610,733,904,1097
"724","NJ","New Jersey","29-0000","Healthcare Practitioners and Technical Occupations","major",440,1.3,41.56,1075,1,19.23,27.24,35.94,45.79,68.38,777,948,1022,1115,248
"725","NJ","New Jersey","31-0000","Healthcare Support Occupations","major",230,1.9,14.09,293,0.8,9.77,10.99,13.27,16.36,19.94,335,333,325,382,505
"726","NJ","New Jersey","33-0000","Protective Service Occupations","major",1182,1.8,26.86,793,2.2,10,13.03,20.99,39.41,51.75,355,470,671,1016,95
"727","NJ","New Jersey","35-0000","Food Preparation and Serving Related Occupations","major",554,0.8,11.38,181,0.8,7.83,8.51,9.9,12.93,17.39,92,116,153,276,435
"728","NJ","New Jersey","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",206,1.5,13.73,276,0.8,8.32,9.73,12.26,16.3,21.96,165,230,277,380,8
"729","NJ","New Jersey","39-0000","Personal Care and Service Occupations","major",150,1.7,13.93,284,1.1,8.04,9.01,11.5,16.69,24.2,125,172,240,389,613
"730","NJ","New Jersey","41-0000","Sales and Related Occupations","major",760,1,20.67,635,1.1,8.18,9.31,13.48,25.48,42.37,146,201,338,726,1049
"731","NJ","New Jersey","43-0000","Office and Administrative Support Occupations","major",1001,0.8,18.26,520,0.4,9.79,12.77,17.15,22.76,28.07,337,459,522,651,742
"732","NJ","New Jersey","45-0000","Farming, Fishing, and Forestry Occupations","major",596,9.1,12.91,242,2.3,7.98,8.95,11.75,14.47,20.49,115,165,258,327,517
"733","NJ","New Jersey","47-0000","Construction and Extraction Occupations","major",107,2.1,26.89,794,0.9,13.24,17.78,25.45,34.96,43.79,551,683,794,937,1074
"734","NJ","New Jersey","49-0000","Installation, Maintenance, and Repair Occupations","major",237,1.8,24.32,755,0.7,12.55,16.99,23.54,30.82,37.25,519,658,746,855,990
"735","NJ","New Jersey","51-0000","Production Occupations","major",374,1.9,17.07,463,0.9,8.62,10.61,14.89,21.58,28.82,200,297,430,607,769
"736","NJ","New Jersey","53-0000","Transportation and Material Moving Occupations","major",622,2.3,16.17,405,1.5,8.25,9.63,13.95,20.57,27.61,156,227,371,567,721
"737","NM","New Mexico","11-0000","Management Occupations","major",726,1.3,43.66,1097,1.5,19.93,27.47,37.63,53.32,74.26,797,951,1052,95,280
"738","NM","New Mexico","13-0000","Business and Financial Operations Occupations","major",646,1.6,28.97,847,2.3,15.38,19.48,26.28,35.29,45.36,636,740,820,944,1096
"739","NM","New Mexico","15-0000","Computer and Mathematical Occupations","major",224,2.6,34.35,955,3.2,17.24,22.57,32.3,43.86,55.4,715,834,950,1085,135
"740","NM","New Mexico","17-0000","Architecture and Engineering Occupations","major",433,1.8,38.95,1040,2.9,19.47,26.9,36.14,49.67,63.19,786,944,1027,66,214
"741","NM","New Mexico","19-0000","Life, Physical, and Social Science Occupations","major",125,2.1,36.35,1001,6.7,15.06,21.96,31.28,49.27,66.34,627,817,933,61,232
"742","NM","New Mexico","21-0000","Community and Social Service Occupations","major",218,3.8,19.44,573,1.5,10.6,13.89,17.69,23.56,29.74,403,520,545,674,797
"743","NM","New Mexico","23-0000","Legal Occupations","major",873,14.1,36.11,997,4.2,15.45,19.64,28.94,44.85,66.8,640,745,895,1100,235
"744","NM","New Mexico","25-0000","Education, Training, and Library Occupations","major",892,1.2,21.02,651,2.5,8.75,11.75,20.07,26.68,34.27,218,388,642,760,919
"745","NM","New Mexico","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",1078,5.9,22.47,705,2.7,8.94,12.4,18.61,28.37,39.37,243,430,589,807,1023
"746","NM","New Mexico","29-0000","Healthcare Practitioners and Technical Occupations","major",789,7.2,34.3,952,1.6,13.75,20.46,28.63,38.37,58.41,567,774,887,1000,181
"747","NM","New Mexico","31-0000","Healthcare Support Occupations","major",457,5.7,13.18,255,1.1,8.65,10.2,12.57,15.46,18.16,24,267,295,357,464
"748","NM","New Mexico","33-0000","Protective Service Occupations","major",499,3.1,19.05,559,2.7,9.11,11.46,16.48,23.69,33.38,261,368,496,684,893
"749","NM","New Mexico","35-0000","Food Preparation and Serving Related Occupations","major",1059,1.4,9.98,121,0.8,7.92,8.36,9.09,11.03,13.92,105,96,107,217,356
"750","NM","New Mexico","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",521,3,10.85,159,0.9,8.04,8.66,9.94,12.22,15.07,126,131,154,258,374
"751","NM","New Mexico","39-0000","Personal Care and Service Occupations","major",686,2.4,10.31,131,1,7.93,8.39,9.15,10.9,14.4,107,99,116,209,364
"752","NM","New Mexico","41-0000","Sales and Related Occupations","major",1055,1.7,14.48,310,1.2,8.2,8.95,10.98,16.12,25.43,149,165,207,376,642
"753","NM","New Mexico","43-0000","Office and Administrative Support Occupations","major",193,1.3,15.11,343,0.9,8.87,10.67,13.86,18.01,23.3,234,303,364,446,585
"754","NM","New Mexico","45-0000","Farming, Fishing, and Forestry Occupations","major",409,7.4,10.69,150,3.1,7.9,8.35,9.11,11.54,16.84,102,95,110,235,418
"755","NM","New Mexico","47-0000","Construction and Extraction Occupations","major",899,2.2,19.3,569,0.9,10.63,13.38,17.35,23.31,30.5,405,486,530,667,817
"756","NM","New Mexico","49-0000","Installation, Maintenance, and Repair Occupations","major",627,1.9,20.18,617,1.3,10.13,13.23,18.26,25.86,33.6,371,480,569,735,899
"757","NM","New Mexico","51-0000","Production Occupations","major",589,3.3,16.9,453,1.9,8.66,10.41,14.37,20.83,29.72,204,285,397,580,795
"758","NM","New Mexico","53-0000","Transportation and Material Moving Occupations","major",791,2.9,16.02,394,2,8.5,10.08,14.03,19.18,26.85,186,256,376,509,688
"759","NY","New York","11-0000","Management Occupations","major",782,0.8,65.75,87,0.6,29.8,39.94,56.47,84.31,NA,870,1013,65,169,56
"760","NY","New York","13-0000","Business and Financial Operations Occupations","major",835,0.9,40.9,1065,0.8,19.93,25.94,35.28,48.18,68.75,798,915,1013,56,251
"761","NY","New York","15-0000","Computer and Mathematical Occupations","major",451,1.6,41.8,1080,0.8,20.66,28.22,38.97,52.25,67.68,820,960,1060,89,241
"762","NY","New York","17-0000","Architecture and Engineering Occupations","major",91,3,37.52,1019,0.7,20.43,26.95,35.2,45.82,57.67,809,946,1011,1116,174
"763","NY","New York","19-0000","Life, Physical, and Social Science Occupations","major",996,2.3,31.88,907,1.7,13.11,19.86,28.44,40.81,53.86,547,755,879,1036,116
"764","NY","New York","21-0000","Community and Social Service Occupations","major",320,1.3,23.57,735,1.6,12.52,16.33,21.69,29.07,37.69,517,641,695,824,999
"765","NY","New York","23-0000","Legal Occupations","major",104,1.9,59.54,82,1.8,21.11,30.05,47.87,81.69,NA,827,980,1111,167,56
"766","NY","New York","25-0000","Education, Training, and Library Occupations","major",997,1,29.77,862,1.5,10.86,15.79,25.9,39.36,53.78,425,615,812,1013,113
"767","NY","New York","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",378,1.7,35.52,986,1.3,13.01,18.82,29.02,43.96,65.94,543,713,897,1087,231
"768","NY","New York","29-0000","Healthcare Practitioners and Technical Occupations","major",886,1.7,39.94,1057,0.9,17.63,24.55,33.67,45.96,67.88,728,875,976,1118,242
"769","NY","New York","31-0000","Healthcare Support Occupations","major",642,1.5,13.88,282,1.2,8.44,9.92,12.99,17.06,20.82,15,244,315,401,523
"770","NY","New York","33-0000","Protective Service Occupations","major",557,1.3,25.14,773,3.1,9.92,13.86,21.86,35.37,44.72,349,519,701,947,1086
"771","NY","New York","35-0000","Food Preparation and Serving Related Occupations","major",1009,0.6,11.35,179,0.8,7.79,8.39,9.43,12.91,17.77,84,100,134,275,448
"772","NY","New York","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",636,1.2,15.31,356,0.9,8.47,10.21,14.08,19.34,24.82,182,268,381,517,630
"773","NY","New York","39-0000","Personal Care and Service Occupations","major",689,1.4,13.22,259,0.9,8.22,9.46,11.25,14.69,20.42,5,215,224,337,516
"774","NY","New York","41-0000","Sales and Related Occupations","major",1131,0.7,23.9,746,1.5,8.14,9.21,13.76,27.96,52.54,140,192,361,799,101
"775","NY","New York","43-0000","Office and Administrative Support Occupations","major",67,0.6,18.63,539,0.3,9.36,12.41,17.04,23.06,29.54,294,431,519,658,788
"776","NY","New York","45-0000","Farming, Fishing, and Forestry Occupations","major",734,10,14.29,304,2.9,7.99,8.94,11.69,17.4,26.39,117,162,253,420,671
"777","NY","New York","47-0000","Construction and Extraction Occupations","major",593,1.1,28.31,833,0.8,13.2,17.42,25.56,36.87,49.62,550,670,798,979,68
"778","NY","New York","49-0000","Installation, Maintenance, and Repair Occupations","major",591,1.2,23.6,737,0.8,11.72,15.73,21.79,29.97,39.54,475,609,698,839,1025
"779","NY","New York","51-0000","Production Occupations","major",677,1.2,17.33,481,0.6,8.72,10.9,15.38,21.55,28.67,213,30,19,605,760
"780","NY","New York","53-0000","Transportation and Material Moving Occupations","major",818,1,18.81,551,2.1,8.68,10.95,15.95,23.58,32.67,206,327,477,677,872
"781","NC","North Carolina","11-0000","Management Occupations","major",346,0.8,54.64,73,0.5,25.69,34.39,47.41,67.61,NA,863,1005,1110,151,56
"782","NC","North Carolina","13-0000","Business and Financial Operations Occupations","major",351,0.9,32.84,923,0.7,17.42,22.19,29.35,39.39,52.28,725,823,905,1015,96
"783","NC","North Carolina","15-0000","Computer and Mathematical Occupations","major",112,2,38.05,1030,0.9,19.44,26.77,36.89,47.66,57.81,784,941,1046,1142,175
"784","NC","North Carolina","17-0000","Architecture and Engineering Occupations","major",912,2.5,34.56,961,0.8,18.7,24.19,32.23,42.4,53.92,755,866,947,1060,117
"785","NC","North Carolina","19-0000","Life, Physical, and Social Science Occupations","major",673,3.4,32.24,913,2.2,16.59,21.08,27.68,38.92,52.7,682,795,862,1009,102
"786","NC","North Carolina","21-0000","Community and Social Service Occupations","major",852,1.2,19.92,20,0.9,11.99,15.48,19.48,23.56,28.59,488,601,618,674,759
"787","NC","North Carolina","23-0000","Legal Occupations","major",498,2.4,38.32,1035,2.4,14.35,19.05,26.81,47.68,78.71,592,723,831,1143,297
"788","NC","North Carolina","25-0000","Education, Training, and Library Occupations","major",529,1.2,21.78,676,3.6,10.26,13.9,19.31,25.45,33.67,384,522,612,724,901
"789","NC","North Carolina","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",719,1.8,23.27,725,2,9.46,13.06,18.9,27.83,39.19,302,472,600,798,1021
"790","NC","North Carolina","29-0000","Healthcare Practitioners and Technical Occupations","major",508,1.3,33.46,935,1.4,14.56,19.8,26.87,35.86,58.86,603,750,832,955,186
"791","NC","North Carolina","31-0000","Healthcare Support Occupations","major",259,1.2,11.98,207,0.6,8.04,9.01,10.89,13.85,17.68,125,172,205,299,443
"792","NC","North Carolina","33-0000","Protective Service Occupations","major",1186,1.5,16.71,443,1,8.78,11.47,15.44,20.41,26.73,223,369,458,558,682
"793","NC","North Carolina","35-0000","Food Preparation and Serving Related Occupations","major",711,0.5,9.67,112,0.5,7.68,8.12,8.87,10.33,13.59,65,72,91,199,352
"794","NC","North Carolina","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",200,1.2,11.18,173,0.7,7.87,8.6,10.14,12.78,16.07,96,127,162,270,405
"795","NC","North Carolina","39-0000","Personal Care and Service Occupations","major",1157,1.7,11.18,173,0.7,7.78,8.38,9.41,12.2,17.67,84,99,132,255,442
"796","NC","North Carolina","41-0000","Sales and Related Occupations","major",794,0.7,17.35,483,0.8,8.01,8.85,11.52,19.79,34.18,120,153,243,534,917
"797","NC","North Carolina","43-0000","Office and Administrative Support Occupations","major",970,0.5,15.89,386,0.2,9.18,11.66,14.81,18.94,24.14,270,381,423,496,611
"798","NC","North Carolina","45-0000","Farming, Fishing, and Forestry Occupations","major",1019,5.5,13.09,253,2.6,7.94,8.81,11.43,15.81,21.13,108,149,233,367,529
"799","NC","North Carolina","47-0000","Construction and Extraction Occupations","major",227,1.3,17.37,484,0.5,10.42,12.8,16.06,20.58,26.8,393,460,482,568,684
"800","NC","North Carolina","49-0000","Installation, Maintenance, and Repair Occupations","major",321,1,20.07,612,0.4,11.13,14.4,18.81,24.62,30.41,438,550,596,705,814
"801","NC","North Carolina","51-0000","Production Occupations","major",652,0.9,15.73,378,0.6,8.78,10.75,14.06,18.95,25.46,222,311,379,497,644
"802","NC","North Carolina","53-0000","Transportation and Material Moving Occupations","major",576,0.9,14.81,326,1.5,8.38,9.84,12.97,17.8,23.72,11,9,313,437,600
"803","ND","North Dakota","11-0000","Management Occupations","major",367,2,46.01,1116,1,23.29,30.14,39.87,54.33,76.53,849,981,1073,102,290
"804","ND","North Dakota","13-0000","Business and Financial Operations Occupations","major",274,4.2,27.2,804,1.1,15.6,19.8,25.3,32.8,41.38,648,751,787,887,1040
"805","ND","North Dakota","15-0000","Computer and Mathematical Occupations","major",943,7,29.01,848,2.2,17.05,21.21,26.96,34.16,42.39,704,799,835,916,1050
"806","ND","North Dakota","17-0000","Architecture and Engineering Occupations","major",954,7.4,30.44,878,1.4,17.64,21.84,28.56,36.97,45.57,728,813,885,982,1101
"807","ND","North Dakota","19-0000","Life, Physical, and Social Science Occupations","major",604,7.9,27.08,800,1.9,14.81,18.41,25.25,34.1,41.97,614,699,784,915,1043
"808","ND","North Dakota","21-0000","Community and Social Service Occupations","major",742,7.1,20.47,629,2.5,11.7,15.67,20.18,24.51,29.79,473,606,647,24,799
